,Date_reported,New_cases,NormalizedCases,SmoothedCases
652,2021-10-16,2729,0.011962844605760928,3529.797981304195
653,2021-10-17,2982,0.013071895424836602,3589.649236701391
654,2021-10-18,2435,0.010674066183593938,3657.163762074292
655,2021-10-19,1594,0.0069874585201842865,3732.418980656151
656,2021-10-20,2695,0.011813802203197398,3815.4809056408176
657,2021-10-21,3699,0.01621493667889691,3906.4047911402267
658,2021-10-22,3791,0.01661822788583352,4005.2359028201913
659,2021-10-23,3879,0.017003984692468537,4112.010403600507
660,2021-10-24,3905,0.017117958294428883,4226.756354122211
661,2021-10-25,3723,0.01632014308070646,4349.494833839318
662,2021-10-26,2535,0.01111242619113373,4480.241196467865
663,2021-10-27,4053,0.017766731105587776,4619.006482923683
664,2021-10-28,4595,0.020142642346453448,4765.799025530849
665,2021-10-29,4863,0.021317447166660092,4920.626288856359
666,2021-10-30,5332,0.023373355602021716,5083.497004648487
667,2021-10-31,4877,0.02137881756771566,5254.423670621776
668,2021-11-01,4525,0.019835790341175594,5433.425494816653
669,2021-11-02,2818,0.012352985012471342,5620.531878533375
670,2021-11-03,2831,0.012409971813451515,5815.786540960907
671,2021-11-04,5188,0.022742117191164417,6019.252397151465
672,2021-11-05,5902,0.025872007644998533,6231.017307484614
673,2021-11-06,6761,0.029637520109765347,6451.200820762066
674,2021-11-07,6760,0.029633136509689947,6679.962034094923
675,2021-11-08,5822,0.025521319638966696,6917.508690277225
676,2021-11-09,4547,0.01993222954283435,7164.107626830692
677,2021-11-10,6111,0.026788180060756697,7420.096679759186
678,2021-11-11,8033,0.0352134594056715,7685.8981286266435
679,2021-11-12,8697,0.038124169855735725,7962.0337471947005
680,2021-11-13,8522,0.03735703984254109,8249.141494835789
681,2021-11-14,8539,0.03743156104382285,8547.993847600528
682,2021-11-15,7565,0.03316193457038528,8859.517723549925
683,2021-11-16,5199,0.02279033679199379,9184.815904263054
684,2021-11-17,7815,0.03425783458923475,9525.189792979569
685,2021-11-18,10167,0.04456806196657066,9882.16327957081
686,2021-11-19,10645,0.04666342280261087,10257.50740372762
687,2021-11-20,10554,0.04626451519574966,10653.265421102435
688,2021-11-21,11540,0.05058674487009201,11071.777783843652
689,2021-11-22,9707,0.04255160593188762,11515.706448778568
690,2021-11-23,6403,0.02806819128277289,11988.05782582845
691,2021-11-24,10044,0.044028879157296724,12492.203579124187
692,2021-11-25,12450,0.05457582093870412,13031.898397438845
693,2021-11-26,13756,0.06030080263717381,13611.29376329308
694,2021-11-27,13681,0.059972032631518964,14234.946676295951
695,2021-11-28,12869,0.05641254937029585,14907.822231255337
696,2021-11-29,12927,0.05666679817466893,15635.288920883131
697,2021-11-30,7972,0.03494605980107223,16423.105532120215
698,2021-12-01,12757,0.055921586161851285,17277.39853958532
699,2021-12-02,15073,0.06607400393647286,18204.628974261443
700,2021-12-03,16810,0.07368831726743906,19211.547864288837
701,2021-12-04,17015,0.07458695528289563,20305.139510480993
702,2021-12-05,16627,0.07288611845364124,21492.55207327199
703,2021-12-06,15010,0.0657978371317228,22781.015209800207
704,2021-12-07,9494,0.04161789911582787,24177.74480725082
705,2021-12-08,15742,0.06900663238691408,25689.835206705902
706,2021-12-09,17946,0.07866808695309109,27324.13969355665
707,2021-12-10,12516,0.054865138543680386,29087.14043667868
708,2021-12-11,20490,0.0898199655449034,30984.80947755324
709,2021-12-12,21035,0.09220902758599528,33022.46278892079
710,2021-12-13,19212,0.08421772464854486,35204.60982545696
711,2021-12-14,12704,0.05568925535785519,37534.80136044506
712,2021-12-15,20665,0.09058709555809805,40015.47872620164
713,2021-12-16,23190,0.10165568574847779,42647.827836139375
714,2021-12-17,26104,0.11442949636818733,45431.64154797778
715,2021-12-18,28615,0.1254367161575115,48365.19401774685
716,2021-12-19,28057,0.12299066731543948,51445.13068250071
717,2021-12-20,24303,0.10653463263239568,54666.37738896225
718,2021-12-21,16205,0.07103623922182331,58022.07195238636
719,2021-12-22,30783,0.1349403611209742,61503.521085699285
720,2021-12-23,36326,0.15923865633890488,65100.18518882148
721,2021-12-24,44585,0.19544280936161632,68799.6929417928
